Incident Id;Date of Arrest;Time of Arrest;Primary Charge;Address;Arrestee's Age;Arrestee's Race;Arrestee's Gender;Arrestee's Ethnicity;Type of Arrest;Drugs or Alcohol Present;Weapon Present
24196;2010-02-03;20:37;POSS COCAINE FEL  F;309 E MAIN ST CARRBORO NC 27510;45;B;M;N;TAKEN INTO CUSTODY (WARRANT/LP);U;UNARMED
24198;2010-02-04;1:45;IMPAIRED DRIVING DWI;1800 MLK JR BLVD CHAPEL HILL NC 27514;25;W;M;;ON VIEW;Y;UNARMED
24199;2010-02-04;5:49;IMPAIRED DRIVING DWI;ESTES DRIVE CHAPEL HILL NC 27514;23;W;M;;ON VIEW;Y;UNARMED
24216;2010-02-07;14:53;DRUGS-POSS SCHED VI;500 UMSTEAD DR CHAPEL HILL NC 27516;24;W;M;H;SUMMONED/CITED;Y;UNARMED
24228;2010-02-07;16:15;CONCEALING MDSE/SHOPLIFTING  M;201 S ESTES DRIVE CHAPEL HILL NC 27514;;;;;SUMMONED/CITED;N;UNARMED
24213;2010-02-07;17:16;LARCENY  F;SCARLETT DRIVE CHAPEL HILL NC 27514;25;W;M;;ON VIEW;U;UNARMED
24214;2010-02-07;19:39;DRUG PARAPHERNALIA;500 UMSTEAD DR CHAPEL HILL NC 27516;20;W;M;H;SUMMONED/CITED;Y;UNARMED
24223;2010-02-09;6:43;FAIL RETUR RENT PROP;734 PRITCHARD AVENUE EXT. CHAPEL HILL NC 27514;31;B;F;;SUMMONED/CITED;N;UNARMED
24237;2010-02-13;4:47;IMPAIRED DRIVING DWI;880 MARTIN LUTHER KING JR BLVD CHAPEL HILL NC 27514;25;B;M;;ON VIEW;Y;UNARMED
24244;2010-02-14;14:51;FAIL TO APPEAR/COMPL;1200 MLK JR BLVD CHAPEL HILL NC 27514;35;W;M;;TAKEN INTO CUSTODY (WARRANT/LP);U;UNARMED
24245;2010-02-14;17:39;ASSAULT ON FEMALE;130 S ESTES DR CHAPEL HILL NC 27514;28;B;M;N;ON VIEW;Y;UNARMED
24248;2010-02-15;9:07;SEX OFFENSE-2ND DEG;828 MLK JR BLVD CHAPEL HILL NC 27514;32;B;M;N;TAKEN INTO CUSTODY (WARRANT/LP);N;UNARMED
24252;2010-02-16;10:00;2ND DEGREE TRESPASS;201 VELMA DRIVE CHAPEL HILL NC 27514;50;B;M;;SUMMONED/CITED;Y;UNARMED
24265;2010-02-18;22:00;MAINTAIN DWELLING  F;1250 EPHESUS CHURCH ROAD CHAPEL HILL NC 27514;60;B;M;;ON VIEW;Y;UNARMED
24266;2010-02-18;22:00;MAINTAIN DWELLING  F;1250 EPHESUS CHURCH ROAD CHAPEL HILL NC 27514;33;B;M;N;ON VIEW;U;UNARMED
24274;2010-02-20;2:16;IMPAIRED DRIVING DWI;RALEIGH RD @ COUNTRY CLUB RD CHAPEL HILL NC 27516;30;W;M;;ON VIEW;Y;UNARMED
24283;2010-02-23;19:36;NDL - SUSPENDED / REVOKED  M;15-501 S NEAR WILLOW DRIVE CHAPEL HILL NC;26;B;M;N;ON VIEW;;UNARMED
24289;2010-02-25;19:35;UNAUTHORIZED USE OF CONVEYANCE;600 WEAVER DAIRY RD CHAPEL HILL NC 27514;44;B;M;N;ON VIEW;Y;UNARMED
24347;2010-03-04;21:29;OPEN BEVERAGE  M;SOUTHERN VILLAGE SOCCER FIELD CHAPEL HILL NC;23;W;M;;SUMMONED/CITED;Y;UNARMED
24328;2010-03-05;23:38;RESISTING ARREST;211 PINEGATE CIRCLE CHAPEL HILL NC 27514;25;B;F;N;TAKEN INTO CUSTODY (WARRANT/LP);N;UNARMED
24330;2010-03-06;2:31;DRUNK / DISRUPTIVE  M;201 S ESTES DR CHAPEL HILL NC 27514;27;W;M;H;SUMMONED/CITED;Y;UNARMED
24337;2010-03-07;0:03;GIVE/SELL MALT BEV TO MINOR  M;161 E FRANKLIN ST CHAPEL HILL NC 27514;29;W;M;N;SUMMONED/CITED;N;UNARMED
24342;2010-03-07;14:42;2ND DEGREE TRESPASS;MERRITT MILL ROAD @ CAMERON AVENUE CHAPEL HILL NC 27514;21;B;M;N;ON VIEW;N;UNARMED
24350;2010-03-08;8:40;FAIL TO APPEAR/COMPL;200 WESTMINSTER DR CHAPEL HILL NC 27514;40;W;F;N;TAKEN INTO CUSTODY (WARRANT/LP);N;UNARMED
24358;2010-03-10;8:47;DISORDERLY CONDUCT;SEAWELL SCHOOL RD NEAR ESTES CHAPEL HILL NC 27516;;;;;ON VIEW;N;UNARMED
24376;2010-03-13;15:05;FAIL TO APPEAR/COMPL;1000 WEAVER DAIRY RD CHAPEL HILL NC 27514;;;;;TAKEN INTO CUSTODY (WARRANT/LP);N;UNARMED
24381;2010-03-15;17:48;ASSAULT & BATTERY;PRITCHARD AVENUE EXT. CHAPEL HILL NC 27514;;;;;SUMMONED/CITED;N;UNARMED
24383;2010-03-15;18:48;FAIL TO APPEAR/COMPL;133 EAST FRANKLIN STREET CHAPEL HILL NC 27514;49;B;M;N;TAKEN INTO CUSTODY (WARRANT/LP);N;UNARMED
24389;2010-03-16;12:10;FAIL TO APPEAR: DRUG PARAPHERNALIA CITATION;STANDISH DR NEAR LEGION RD CHAPEL HILL NC 27514;21;B;M;N;TAKEN INTO CUSTODY (WARRANT/LP);N;UNARMED
24393;2010-03-16;19:30;FRAUD-OBT PROPERTY;UNC HOSPITAL CHAPEL HILL NC 27514;21;W;F;N;TAKEN INTO CUSTODY (WARRANT/LP);N;UNARMED
24400;2010-03-17;2:02;DRUGS-MISD POSS;PITTSBORO ST CHAPEL HILL NC 27514;24;B;M;;SUMMONED/CITED;Y;UNARMED
24402;2010-03-18;21:16;ASSAULT ON FEMALE;1100 NC HWY 54 BYPASS CHAPEL HILL NC 27516;44;W;M;H;ON VIEW;U;UNARMED
24410;2010-03-20;2:54;CONSUME ALCOHOLIC BEVERAGE LESS THAN 21;RALEIGH ST CHAPEL HILL NC 27516;;;;;SUMMONED/CITED;Y;UNARMED
24413;2010-03-20;2:54;CONSUME ALCOHOLIC BEVERAGE LESS THAN 21;RALEIGH ST CHAPEL HILL NC 27516;18;W;M;N;SUMMONED/CITED;Y;UNARMED
24425;2010-03-22;10:35;HARASSING PHONE CALLS;UMSTEAD PARK CHAPEL HILL NC 27514;45;B;M;N;SUMMONED/CITED;N;UNARMED
24429;2010-03-23;13:56;ASLT INFL BODY INJURY  F;828 MLK JR BLVD CHAPEL HILL NC 27514;29;B;M;N;TAKEN INTO CUSTODY (WARRANT/LP);Y;UNARMED
24430;2010-03-23;18:49;BREAKING/ENTER-MISD;510 W FRANKLIN ST CHAPEL HILL NC 27516;23;B;M;;TAKEN INTO CUSTODY (WARRANT/LP);U;UNARMED
24435;2010-03-25;16:20;FAIL TO APPEAR/COMPL  M;SYKES ST @ GOMAINS AVE CHAPEL HILL NC 27514;23;B;M;N;TAKEN INTO CUSTODY (WARRANT/LP);N;UNARMED
24443;2010-03-26;16:28;FAIL TO APPEAR/COMPL;828 MARTIN LUTHER KING JR BLVD CHAPEL HILL NC 27514;21;W;M;N;TAKEN INTO CUSTODY (WARRANT/LP);N;UNARMED
24444;2010-03-27;2:59;IMPAIRED DRIVING DWI;MLK JR BLVD AT AIPORT DR CHAPEL HILL NC 27514;27;A;F;;ON VIEW;Y;UNARMED
24448;2010-03-28;0:50;DRUNK / DISRUPTIVE  M;202 W ROSEMARY ST CHAPEL HILL NC 27516;28;W;M;;ON VIEW;Y;UNARMED
24452;2010-03-28;13:50;ASSAULT BY STRANGULATION;828 MLK JR BLVD CHAPEL HILL NC 27514;44;W;M;N;TAKEN INTO CUSTODY (WARRANT/LP);U;UNARMED
24460;2010-03-30;2:47;IMPAIRED DRIVING DWI;100 PINEY MOUNTAIN RD CHAPEL HILL NC 27514;21;W;F;N;ON VIEW;Y;UNARMED
24471;2010-03-31;2:45;DRUG PARAPHERNALIA;ESTES DR/CASWELL RD CHAPEL HILL NC 27514;19;W;M;;ON VIEW;Y;UNARMED
24476;2010-04-01;16:27;COMMUNICATE THREATS;101 MANNING DRIVE CHAPEL HILL NC 27514;50;W;M;;TAKEN INTO CUSTODY (WARRANT/LP);N;UNARMED
24480;2010-04-02;14:52;COMMUNICATE THREATS;828 MARTIN LUTHER KING JR BLVD CHAPEL HILL NC 27514;36;B;F;N;TAKEN INTO CUSTODY (WARRANT/LP);N;UNARMED
24481;2010-04-02;20:38;PANHANDLING/LOITERING;107 EAST FRANKLIN STREET CHAPEL HILL NC 27514;32;B;M;N;ON VIEW;U;UNARMED
24486;2010-04-02;20:42;NDL - SUSPENDED / REVOKED;2701 HOMESTEAD RD CHAPEL HILL NC 27516;20;W;F;N;ON VIEW;N;UNARMED
24493;2010-04-02;22:28;OPEN CONTAINER;150 E FRANKLIN ST CHAPEL HILL NC 27514;54;W;M;N;SUMMONED/CITED;Y;UNARMED
24489;2010-04-03;0:15;LARCENY FROM PERSON;632 CHRISTOPHER ROAD CHAPEL HILL NC 27514;40;B;M;;TAKEN INTO CUSTODY (WARRANT/LP);N;UNARMED
24490;2010-04-03;2:54;INDECENT EXPOSURE;FRANKLIN ST/COLUMBIA ST CHAPEL HILL NC 27514;25;W;M;;ON VIEW;Y;UNARMED
24498;2010-04-04;3:17;IMPAIRED DRIVING DWI;385 UMSTEAD DR/VILLAGE DR CHAPEL HILL NC 27516;20;W;F;N;ON VIEW;Y;UNARMED
24502;2010-04-04;20:59;POSSESSION MARIJUANA;100 FRIDAY CENTER DR CHAPEL HILL NC 27517;22;B;F;N;ON VIEW;Y;UNARMED
24509;2010-04-07;1:25;IMPAIRED DRIVING DWI  M;FORDHAM BLVD AT S. ESTES DR CHAPEL HILL NC;24;W;M;N;ON VIEW;Y;UNARMED
24512;2010-04-08;2:05;IMPAIRED DRIVING DWI  M;EAST FRANKLIN @ ROOSEVELT CHAPEL HILL NC;33;W;F;;ON VIEW;Y;UNARMED
24515;2010-04-09;0:55;DRUNK / DISRUPTIVE;157 EAST FRANKLIN STREET CHAPEL HILL NC 27514;21;W;M;;ON VIEW;Y;UNARMED
24517;2010-04-09;19:18;DRUGS-MISD POSS;WEAVER DAIRY RD EXT CHAPEL HILL NC 27514;31;W;M;N;ON VIEW;U;UNARMED
24522;2010-04-11;4:55;RESIST  DELAY & OBSTRUCT  M;15-501 NEAR EPHESUS CHURCH RD CHAPEL HILL NC 27514;19;W;M;;ON VIEW;U;UNARMED
24526;2010-04-11;15:00;CCW;RALEIGH RD/ FINLEY FOREST DR CHAPEL HILL NC 27514;40;B;M;N;ON VIEW;N;HANDGUN
24528;2010-04-13;21:48;UNDERAGE POSSESSION;200 W FRANKLIN ST CHAPEL HILL NC 27516;20;W;M;;SUMMONED/CITED;Y;UNARMED
24531;2010-04-14;2:35;IMPAIRED DRIVING DWI;1900 FORDHAM BLVD CHAPEL HILL NC 27516;34;W;M;N;ON VIEW;Y;UNARMED
24535;2010-04-14;19:10;DRUGS-MAINTAIN;1012 S COLUMBIA ST/PUREFOY RD CHAPEL HILL NC 27516;31;B;M;;ON VIEW;N;UNARMED
24541;2010-04-16;1:25;UNAUTHORIZED USE OF CONVEYANCE;211 PINEGATE CIR CHAPEL HILL NC 27514;27;B;M;N;TAKEN INTO CUSTODY (WARRANT/LP);N;UNARMED
24552;2010-04-17;3:00;POSSESSION MARIJUANA;150 E ROSEMARY ST CHAPEL HILL NC 27514;19;W;F;H;SUMMONED/CITED;Y;UNARMED
24559;2010-04-17;12:22;ROBBERY;OLD OXFORD EAST CHAPEL HILL NC 27514;39;B;M;;ON VIEW;Y;UNARMED
24561;2010-04-19;2:22;IMPAIRED DRIVING DWI;300 BLK WEST FRANKLIN ST CHAPEL HILL NC 27516;25;W;M;N;ON VIEW;Y;UNARMED
24577;2010-04-21;17:42;FORGERY;MILLHOUSE RD CHAPEL HILL NC 27516;24;B;M;;TAKEN INTO CUSTODY (WARRANT/LP);N;UNARMED
24579;2010-04-22;10:04;AFFRAY/ASSAULT & BATTERY;1709 HIGH SCHOOL RD CHAPEL HILL NC 27516;18;B;M;N;SUMMONED/CITED;N;UNARMED
24581;2010-04-22;19:45;MV THEFT - AUTOMOBILE  F;200 WESTMINISTER DR CHAPEL HILL NC 27514;44;B;M;N;ON VIEW;Y;UNARMED
24604;2010-04-23;10:30;WEAP-SCHOOL PROPERTY  M;9201 SEAWELL SCHOOL RD CHAPEL HILL NC 27516;;;;;ON VIEW;N;UNARMED
24586;2010-04-24;9:02;CCW;0 NC 54/S COLUMBIA ST CHAPEL HILL NC 27514;34;W;M;N;SUMMONED/CITED;N;HANDGUN
24594;2010-04-25;2:31;IMPAIRED DRIVING DWI;402 WEST FRANKLIN ST CHAPEL HILL NC 27514;32;W;M;H;ON VIEW;Y;UNARMED
24598;2010-04-26;17:58;FAIL TO APPEAR/COMPL;200 BLOCK N GRAHAM ST CHAPEL HILL NC 27516;22;W;M;;TAKEN INTO CUSTODY (WARRANT/LP);N;UNARMED
24600;2010-04-27;11:34;ASSAULT ON FEMALE;751 PRITCHARD AVE EXT CHAPEL HILL NC 27514;21;B;M;N;ON VIEW;U;UNARMED
24603;2010-04-28;3:41;IMPAIRED DRIVING DWI;200 BLOCK W ROSEMARY ST CHAPEL HILL NC 27516;22;B;M;N;ON VIEW;Y;UNARMED
24614;2010-04-29;12:40;DAMAGE-PERSONAL PROP;751 TRINITY COURT CHAPEL HILL NC 27514;27;B;F;;SUMMONED/CITED;N;UNARMED
24617;2010-04-30;3:26;NDL - ALLOW UNLICENSE DRIVER;828 MLK BLVD CHAPEL HILL NC 27514;18;W;F;;SUMMONED/CITED;N;UNARMED
24621;2010-05-01;0:32;RESISTING ARREST;411 WEST FRANKLIN ST CHAPEL HILL NC 27514;38;W;F;N;ON VIEW;Y;UNARMED
24628;2010-05-01;3:17;IMPAIRED DRIVING DWI;15-501 / EUROPA CHAPEL HILL NC 27514;46;W;M;;ON VIEW;Y;UNARMED
24624;2010-05-01;3:26;UNDERAGE POSSESSION;707 PRITCHARD AVE EXT CHAPEL HILL NC 27516;20;B;M;;ON VIEW;Y;UNARMED
24644;2010-05-03;14:14;CONSUME ALCOHOLIC BEVERAGE LESS THAN 21  M;500 WEAVER DAIRY RD CHAPEL HILL NC 27514;;;;;ON VIEW;Y;UNARMED
24647;2010-05-04;12:58;COMMUNICATE THREATS;179 EAST FRANKLIN ST CHAPEL HILL NC 27514;48;W;M;N;TAKEN INTO CUSTODY (WARRANT/LP);N;UNARMED
24651;2010-05-06;5:41;UNDERAGE POSSESSION;515 S MERRITT MILL RD CHAPEL HILL NC 27516;19;W;F;N;SUMMONED/CITED;Y;UNARMED
24667;2010-05-08;1:49;2ND DEGREE TRESPASS;106 N ELLIOTT RD CHAPEL HILL NC 27514;55;B;M;N;SUMMONED/CITED;Y;UNARMED
24671;2010-05-08;16:12;FAIL TO APPEAR/COMPL;150 E FRANKLIN ST CHAPEL HILL NC 27514;59;W;M;N;TAKEN INTO CUSTODY (WARRANT/LP);U;UNARMED
24673;2010-05-09;1:08;FAIL TO APPEAR/COMPL;PRITCHARD AVE @ CARR ST CHAPEL HILL NC 27516;21;H;F;H;TAKEN INTO CUSTODY (WARRANT/LP);N;UNARMED
24680;2010-05-12;0:49;UNDERAGE POSSESSION;800 MARTIN LUTHER KING JR BLVD CHAPEL HILL NC 27514;20;W;M;N;SUMMONED/CITED;Y;UNARMED
24681;2010-05-12;0:49;UNDERAGE POSSESSION;800 MARTIN LUTHER KING JR BLVD CHAPEL HILL NC 27514;20;B;M;H;SUMMONED/CITED;Y;UNARMED
24694;2010-05-15;4:46;RECKLESS DRIVING;100 E FRANKLIN ST/S COLUMBIA ST CHAPEL HILL NC 27514;59;B;M;N;ON VIEW;U;UNARMED
24697;2010-05-15;10:20;FRAUDULENT USE OF ID  M;618 WEAVER DAIRY RD CHAPEL HILL NC 27514;;;;;SUMMONED/CITED;Y;UNARMED
24708;2010-05-16;5:57;POSSESSION MARIJUANA;109 STINSON ST CHAPEL HILL NC 27516;19;W;M;;ON VIEW;Y;UNARMED
24709;2010-05-16;5:57;CONSUME ALCOHOLIC BEVERAGE LESS THAN 21;109 STINSON ST CHAPEL HILL NC 27516;19;W;F;;ON VIEW;Y;UNARMED
24713;2010-05-18;8:40;FAIL TO APPEAR/COMPL;101 NORTHWOOD DR ORANGE COUNTY NC 27516;44;W;M;N;TAKEN INTO CUSTODY (WARRANT/LP);N;UNARMED
24715;2010-05-18;17:22;POSSESSION MARIJUANA;1800 MARTIN LUTHER KING JR BLVD ORANGE COUNTY NC 27514;18;W;M;N;ON VIEW;Y;UNARMED
24729;2010-05-21;1:10;IMPAIRED DRIVING DWI;400 BLOCK W ROSEMARY ST CHAPEL HILL NC 27516;46;W;M;;SUMMONED/CITED;Y;UNARMED
24730;2010-05-21;7:00;ASSAULT ON GOVERMENT OFFICIAL;101 MANNING DRIVE CHAPEL HILL NC 27514;46;W;M;;TAKEN INTO CUSTODY (WARRANT/LP);Y;UNARMED
24732;2010-05-21;15:09;POSS MARIJUANA MISD;1010 RALEIGH ROAD CHAPEL HILL NC 27514;;;;;ON VIEW;Y;UNARMED
24734;2010-05-21;18:56;FAIL TO APPEAR/COMPL;100 WEST FRANKLIN ST CHAPEL HILL NC 27514;40;B;M;N;TAKEN INTO CUSTODY (WARRANT/LP);N;UNARMED
24739;2010-05-22;6:47;ASSAULT-SIMPLE;1060 HWY. 54 BYPASS CHAPEL HILL NC 27516;;;;;SUMMONED/CITED;N;UNARMED
24751;2010-05-22;16:15;POSSESSION MARIJUANA;DOGWOOD ACRES CHAPEL HILL NC 27514;23;W;F;N;ON VIEW;U;UNARMED
24745;2010-05-22;21:00;GIVE/SELL MALT BEV TO MINOR;1213 MLK JR. BLVD. CHAPEL HILL NC 27516;27;W;M;;SUMMONED/CITED;N;UNARMED
24748;2010-05-22;22:07;GIVE/SELL MALT BEV TO MINOR;1720 N FORDHAM BLVD CHAPEL HILL NC 27516;27;W;M;N;SUMMONED/CITED;N;UNARMED
24754;2010-05-25;1:16;RESISTING ARREST;1009 S COLUMBIA ST CHAPEL HILL NC 27516;24;B;M;;ON VIEW;Y;UNARMED
24761;2010-05-25;12:39;LARCENY-CREDIT CARD;106 N ELLIOTT RD CHAPEL HILL NC 27514;;;;;ON VIEW;N;UNARMED
24764;2010-05-25;12:39;B&E-VEHICLE;106 N ELLIOTT RD CHAPEL HILL NC 27514;18;B;M;;ON VIEW;N;UNARMED
24770;2010-05-26;7:18;FRAUD-OBT PROPERTY;224 HAYES RD CHAPEL HILL NC 27517;44;B;F;;TAKEN INTO CUSTODY (WARRANT/LP);N;UNARMED
24781;2010-05-28;22:45;DRUG PARAPHERNALIA;100 WOODLEAF DRIVE CHAPEL HILL NC 27514;;;;;SUMMONED/CITED;Y;UNARMED
24782;2010-05-28;22:45;DRUG PARAPHERNALIA;100 WOODLEAF DRIVE CHAPEL HILL NC 27514;;;;;SUMMONED/CITED;Y;UNARMED
24787;2010-05-29;3:23;IMPAIRED DRIVING DWI;FINLEY GOLF COURSE RD CHAPEL HILL NC;31;B;M;;ON VIEW;Y;UNARMED
24794;2010-05-29;9:07;LARCENY -  ALL OTHER;1400 E FRANKLIN ST CHAPEL HILL NC 27514;46;B;M;N;ON VIEW;;UNARMED
24788;2010-05-29;19:03;COMMON LAW ROBBERY  F;409 WEST FRANKLIN ST. CHAPEL HILL NC 27516;;;;;ON VIEW;N;UNARMED
24795;2010-05-31;2:12;UNDERAGE POSSESSION;111 TREMONT CIR CHAPEL HILL NC 27516;20;W;M;H;SUMMONED/CITED;Y;UNARMED
24799;2010-05-31;2:12;UNDERAGE POSSESSION;111 TREMONT CIR CHAPEL HILL NC 27516;20;W;M;N;SUMMONED/CITED;Y;UNARMED
24808;2010-06-02;22:08;2ND DEGREE TRESPASS;1501 E FRANKLIN ST CHAPEL HILL NC 27514;45;W;M;;SUMMONED/CITED;N;UNARMED
24818;2010-06-05;7:17;FAIL RETUR RENT PROP;131 SCHULTZ ST CHAPEL HILL NC 27514;25;B;F;N;SUMMONED/CITED;N;UNARMED
24830;2010-06-07;11:00;ASSAULT ON FEMALE;828 MARTIN LUTHER KING JR BLVD CHAPEL HILL NC 27514;42;B;M;N;TAKEN INTO CUSTODY (WARRANT/LP);N;UNARMED
24829;2010-06-07;13:45;2ND DEGREE TRESPASS;150 EAST FRANKLIN STREET CHAPEL HILL NC 27514;40;B;M;N;ON VIEW;U;UNARMED
24839;2010-06-07;21:43;CARELESS AND RECKLESS DRIVING;SEAWELL SCH RD NEAR SMITH ELEM. CHAPEL HILL NC 27514;18;W;M;N;ON VIEW;N;UNARMED
24836;2010-06-08;11:02;POSS STOLEN FIREMARM  F;BRADLEY ROAD AT READE ROAD CHAPEL HILL NC;21;B;M;N;ON VIEW;U;HANDGUN
24838;2010-06-08;11:02;POSS STOLEN FIREARM  F;BRADLEY ROAD AT READE ROAD CHAPEL HILL NC;20;B;F;N;ON VIEW;N;HANDGUN
24834;2010-06-08;18:38;IMPAIRED DRIVING DWI;600 CRAIG STREET CHAPEL HILL NC 27514;50;B;M;;ON VIEW;Y;UNARMED
24849;2010-06-10;11:15;CONSUME ALCOHOLIC BEVERAGE LESS THAN 21;828 MARTIN LUTHER KING JR BLVD CHAPEL HILL NC 27514;18;W;M;;SUMMONED/CITED;U;UNARMED
24858;2010-06-10;22:13;AID & ABET UNDERAGE ALCOHOL USAGE;109 REAR OF BUILDING E FRANKLIN ST CHAPEL HILL NC 27516;22;A;M;N;ON VIEW;Y;UNARMED
24861;2010-06-11;13:07;FORGERY;COLONY WOODS DR @ FOUNTAIN RIDGE RD CHAPEL HILL NC;39;B;F;N;ON VIEW;;UNARMED
24864;2010-06-11;18:59;FAIL TO APPEAR/COMPL;MARTIN LUTHER KING JR BLVD @ DIXIE LN CHAPEL HILL NC 27516;21;B;M;N;ON VIEW;N;UNARMED
24863;2010-06-11;19:31;OPEN CONTAINER;100 BLOCK OF EAST FRANKLIN STREET CHAPEL HILL NC 27516;40;B;M;N;ON VIEW;Y;UNARMED
24871;2010-06-12;1:08;CONSUME ALCOHOLIC BEVERAGE LESS THAN 21;316 COLUMBIA PL E CHAPEL HILL NC 27516;18;W;F;N;SUMMONED/CITED;Y;UNARMED
24872;2010-06-12;1:08;CONSUME ALCOHOLIC BEVERAGE LESS THAN 21;316 COLUMBIA PL E CHAPEL HILL NC 27516;19;W;M;N;SUMMONED/CITED;Y;UNARMED
24883;2010-06-12;1:20;PUBLIC URINATION  M;E ROSEMARY ST CHAPEL HILL NC;22;W;M;N;SUMMONED/CITED;Y;UNARMED
24870;2010-06-12;9:17;2ND DEGREE TRESPASS;325 W ROSEMARY ST CHAPEL HILL NC 27516;45;W;M;;SUMMONED/CITED;Y;UNARMED
24892;2010-06-16;21:40;CONCEALING MDSE/SHOPLIFTING  M;108 E FRANKLIN ST CHAPEL HILL NC 27514;27;B;M;;ON VIEW;U;UNARMED
24895;2010-06-17;4:24;PANHANDLING/LOITERING;159 E FRANKLIN ST CHAPEL HILL NC 27514;40;B;M;N;ON VIEW;Y;UNARMED
